location_id,address,city,state,provider_name,latitude,longitude
1,655 North Franklin St.,Tampa,FL,Tampa Electric,27.949597,-82.4586818
2,2420 Bellevue Avenue,Daytona Beach,FL,Florida Power & Light,29.175092,-81.0650318
3,220 S. Ridgewood Ave.,Daytona Beach,FL,Florida Power & Light,29.2078936,-81.021686
4,300 North Beach Street,Daytona Beach,FL,Florida Power & Light,29.2170771,-81.0220331
5,300 North Beach Street,Daytona Beach,FL,Florida Power & Light,29.2170771,-81.0220331
6,2290 Lucien Way,Maitland,FL,Duke Energy,28.6228239,-81.3904031
7,1720 SE 16th Ave.,Ocala,FL,Florida Power & Light,29.1699615,-82.1166688
8,1300 Citizens Blvd.,Leesburg,FL,Duke Energy,28.8229887,-81.8844156
9,7984 Cooper Creek Boulevard,University Park,FL,Florida Power & Light,27.3966073,-82.4530808
10,817-823 Beachland Blvd,Vero Beach,FL,Florida Power & Light,27.6532778,-80.3682306
11,100 Rialto Place,Melbourne,FL,Florida Power & Light,28.0899294,-80.625169
12,75 Vineyards Boulevard,Naples,FL,Florida Power & Light,26.2133827,-81.7271951
13,9617 Gulf Research Lane,Fort Myers,FL,Florida Power & Light,26.5025855,-81.7969607
14,615 Crescent Executive Court,Lake Mary,FL,Duke Energy,28.7557164,-81.3446964
15,8825 NW 21st Terrace,Doral,FL,Florida Power & Light,25.7943501,-80.3390496
16,1780 N. Krome Avenue,Homestead,FL,Florida Power & Light,25.4815315,-80.4774727
17,1201 West Cypress Creek Rd.,Ft. Lauderdale,FL,Florida Power & Light,26.2025714,-80.183018
18,1661 Worthington Rd.,West Palm Beach,FL,Florida Power & Light,26.6960981,-80.0760702
19,555 Winderley Place,Maitland,FL,Duke Energy,28.6324186,-81.3970939
20,300 North Beach Street,Daytona Beach,FL,Florida Power & Light,29.2170771,-81.0220331
21,10151 Deerwood Park Blvd. Bldg. 100,Jacksonville,FL,Florida Power & Light,30.2438198,-81.5512235
22,3520 Thomasville Road,Tallahassee,FL,City of Tallahassee Utilities,30.5096703,-84.2487191
23,1600 Sawgrass Corporate Parkway,Sunrise,FL,Florida Power & Light,26.1443319,-80.3400824
24,5192 Mariner Blvd.,Spring Hill,FL,Florida Power & Light,28.50298,-82.523806
25,140 Fountain Parkway,St. Petersburg,FL,Florida Power & Light,27.8913736,-82.6599025
26,655 North Franklin St.,Tampa,FL,Tampa Electric,27.949597,-82.4586818
27,220 S. Ridgewood Ave.,Daytona Beach,FL,Florida Power & Light,29.2078936,-81.021686
28,5750 Major Blvd.,Orlando,FL,Duke Energy,28.4779625,-81.4561961
29,300 North Beach Street,Daytona Beach,FL,Florida Power & Light,29.2170771,-81.0220331
30,300 North Beach Street,Daytona Beach,FL,Florida Power & Light,29.2170771,-81.0220331
31,655 North Franklin St.,Tampa,FL,Tampa Electric,27.949597,-82.4586818
32,2 Oakwood Blvd.,Hollywood,FL,Florida Power & Light,26.0391379,-80.161037
33,970 Lake Carillon Drive,St. Petersburg,FL,Florida Power & Light,27.8902491,-82.6673605
34,970 Lake Carillon Drive,St. Petersburg,FL,Florida Power & Light,27.8902491,-82.6673605
35,4600 Touchton Road East,Jacksonville,FL,Florida Power & Light,30.2632033,-81.5508354
36,970 Lake Carillon Drive,St. Petersburg,FL,Florida Power & Light,27.8902491,-82.6673605
37,6311 Atrium Drive,Bradenton,FL,Duke Energy,27.3887412,-82.4363505
38,301 Yamato Road,Boca Raton,FL,Florida Power & Light,26.3953425,-80.0797176
39,17755 US Hwy 19 N.,Clearwater,FL,Florida Power & Light,28.0120798,-82.73401
40,300 North Beach Street,Daytona Beach,FL,Florida Power & Light,29.2170771,-81.0220331
41,2 Alhambra Plaza,Coral Gables,FL,Florida Power & Light,25.752372,-80.254762
42,93 Park Place Boulevard,Clearwater,FL,Florida Power & Light,27.9643111,-82.7239175
43,93 Park Place Boulevard,Clearwater,FL,Florida Power & Light,27.9643111,-82.7239175
44,655 North Franklin St.,Tampa,FL,Tampa Electric,27.949597,-82.4586818
45,301 Yamato Road,Boca Raton,FL,Florida Power & Light,26.3953425,-80.0797176
46,1201 West Cypress Creek Rd.,Ft. Lauderdale,FL,Florida Power & Light,26.2025714,-80.183018
47,970 Lake Carillon Drive,St. Petersburg,FL,Florida Power & Light,27.8902491,-82.6673605
48,21845 Powerline Road,Boca Raton,FL,Florida Power & Light,26.3645479,-80.1477033
49,1301 N. Congress Avenue,Boynton Beach,FL,Florida Power & Light,26.5381895,-80.0914499
50,32313 Broadway Street,Sebring,FL,Florida Power & Light,27.4935654,-81.4866637
51,100 East Main Street,Lakeland,FL,Florida Power & Light,28.044204,-81.957073
52,28279 Highway 27,Dundee,FL,Florida Power & Light,28.0192848,-81.6320636
53,1201- 19th Place,Vero Beach,FL,Florida Power & Light,27.637655,-80.3986248
54,4030 Boy Scout Blvd.,Tampa,FL,Tampa Electric,27.9664234,-82.5124536
55,777 Brickell Avenue,Miami,FL,Florida Power & Light,25.7664344,-80.1898861
56,1201- 19th Place,Vero Beach,FL,Florida Power & Light,27.637655,-80.3986248
57,3731 South Nova Road,Port Orange,FL,Florida Power & Light,29.1328472,-81.0079199
58,6707 Gessner Rd.,Houston,TX,CenterPoint Energy,29.8647718,-95.5417564
59,3201 Cherry Ridge Street,San Antonio,TX,CPS Energy,29.50920259,-98.5472452
60,8000 Centre Park Drive,Austin,TX,Austin Energy,30.3335545,-97.679068
61,101 W. Renner Road,Richardson,TX,Oncor Eletric Delivery,32.9971,-96.70612
62,14785 Preston Rd.,Dallas,TX,Oncor Eletric Delivery,32.9496145,-96.8037236
63,18545 Sigma Rd.,San Antonio,TX,CPS Energy,29.6127799,-98.4834769
64,1701 E. Lamar Boulevard,Arlington,TX,Oncor Eletric Delivery,32.763586,-97.085127
65,5850 Granite Parkway,Plano,TX,Oncor Eletric Delivery,33.0872313,-96.8219073
66,192 S. Main Drive,Van Alstyne,TX,Grayson-Collin Eletric Coop,33.4215734,-96.5750853
67,5001 Spring Valley Road,Dallas,TX,Oncor Eletric Delivery,32.940039,-96.823595
68,5001 Spring Valley Road,Dallas,TX,Oncor Eletric Delivery,32.940039,-96.823595
69,5001 Spring Valley Road,Dallas,TX,Oncor Eletric Delivery,32.940039,-96.823595
70,5001 Spring Valley Road,Dallas,TX,Oncor Eletric Delivery,32.940039,-96.823595
71,5001 Spring Valley Road,Dallas,TX,Oncor Eletric Delivery,32.940039,-96.823595
72,15835 Quorum Drive,Addison,TX,Oncor Eletric Delivery,32.9652769,-96.8265835
73,3033 Chimney Rock Boulevard,Houston,TX,CenterPoint Energy,29.7184477,-95.4768136
74,181 South Franklin St.,Holbrook,MA,Eversource,42.1495501,-71.0084153
75,2 Tarbell Street,Pepperell,MA,National Grid,42.6664147,-71.5727823
76,980-990 Washington Street,Dedham,MA,Eversource,42.2565055,-71.1630196
77,68 Evergreen Street,Kingston,MA,Eversource,41.9980781,-70.7318547
78,One Beacon Street,Boston,MA,Eversource,42.3584577,-71.0608383
79,144 Turnpike Rd,Southborough,MA,Eversource,42.292053,-71.5185633
80,134 Flanders Road,Westborough,MA,National Grid,42.2764791,-71.5707387
81,107 Audubon Road,Wakefield,MA,Wakefield Municipal Gas & Light Department,42.520724,-71.0497116
82,75 Federal St.,Boston,MA,Eversource,42.3552444,-71.0569304
83,500 Victory Road,Quincy,MA,Eversource,42.2985237,-71.0299502
84,117 Main Street,Greenfield,MA,Greenfield Light & Power (Municipal),42.5873343,-72.6048317
85,31 Court Street,Westfield,MA,Westfield Gas & Electric (Municipal),42.1206699,-72.750801
86,75 South Church Street,Pittsfield,MA,Eversource,42.446464,-73.2608348
87,200 Silver Street,Agawam,MA,Eversource,42.0620137,-72.633534
88,15 Johnny Cake Hill,New Bedford,MA,Eversource,41.6351993,-70.9237476
89,500 Plum St.,Syracuse,NY,National Grid,43.0553813,-76.1589267
90,4104 Vestal Rd.,Vestal,NY,NYSEG (New York State Electric & Gas),42.096781,-75.9722653
91,45 East Avenue,Rochester,NY,RG&E (Rochester Gas & Electric),43.1570183,-77.6034736
92,595 Stewart Ave.,Garden City,NY,PSEG Long Island,40.73131,-73.6137833
93,1133 Westchester Ave.,White Plains,NY,Con Edison,41.021024,-73.7286745
94,1500 Broadway,"New York, NY",NY,Con Edison,40.7568024,-73.985668
95,Six Tower Place,Albany,NY,National Grid,42.6857943,-73.8422833
96,900 Stewart Ave.,Garden City,NY,PSEG Long Island,40.7336971,-73.5984942
97,12 Metro Park Rd,Colonie,NY,National Grid,42.7177581,-73.798871
98,332 Route 100,Somers,NY,NYSEG,41.2466168,-73.7515495
99,450 Seventh Ave.,"New York, NY",NY,Con Edison,42.7116344,-73.7117361
100,1985 Marcus Ave.,New Hyde Park,NY,PSEG Long Island,40.7566958,-73.6930536
101,56 Livingston Ave.,Roseland,NJ,PSE&G,40.816203,-74.301595
102,24 Arnett Avenue,Lambertville,NJ,JCP&L (Jersey Central Power & Light),40.3751697,-74.9469014
103,1129 Broad Street,Shrewsbury,NJ,JCP&L,40.3184295,-74.0621162
104,1 Sylvan Way,Parsippany,NJ,JCP&L,40.847746,-74.4557769
105,307 Fellowship Rd,Mt. Laurel,NJ,PSE&G,39.947359,-74.9500281
106,"401 Route 73 North, Building 10",Marlton,NJ,PSE&G,39.8853445,-74.92316
107,1201 New Road,Linwood,NJ,Atlantic City Electric,39.3478288,-74.5803026
108,1719 Route 10,Parsippany,NJ,JCP&L,40.8403908,-74.4601647
109,1261 Headquarters Plaza,Morristown,NJ,JCP&L,40.7984811,-74.4803887
110,1711 Ginesi Drive,Freehold,NJ,JCP&L,40.2578814,-74.25917
111,2399 Highway 34,Manasquan,NJ,JCP&L,40.1253289,-74.083127
112,501 Front Street,Lynden,WA,Puget Sound Energy (PSE),48.942643,-122.453196
113,701 Fifth Avenue,Seattle,WA,Seattle City Light,47.6047985,-122.3306928
114,431 - 15th Ave East,Seattle,WA,Seattle City Light,47.6229169,-122.3128232
115,2106 Pacific Ave.,Tacoma,WA,Tacoma Power,47.2418992,-122.4361426
116,227 NW Lindvig Way,Poulsbo,WA,Puget Sound Energy (PSE),47.747085,-122.653758
117,12611 Des Moines Memorial Drive,Seattle,WA,Seattle City Light,47.4899932,-122.3113748
118,12 Basin Street NW,Ephrata,WA,Grant County PUD,47.3207869,-119.5514043
119,950 Pacific Ave.,Tacoma,WA,Tacoma Power,47.2535728,-122.4390905
120,1325 Fourth Avenue,Seattle,WA,Seattle City Light,47.6063288,-122.3331388
121,4400 NE 77th Avenue,Vancouver,WA,Clark Public Utilities,45.6540242,-122.5948594
122,1120 South Avenue,North Mankato,MN,Xcel Energy,44.167552,-94.0285828
123,1715 Yankee Doodle Road,Eagan,MN,Xcel Energy,44.8336822,-93.1857138
124,5810 W. 78th St.,Bloomington,MN,Xcel Energy,44.8620725,-93.3721561
125,901 Marquette Avenue,Minneapolis,MN,Xcel Energy,44.974187,-93.272526
126,7301 Ohms Lane,Edina,MN,Xcel Energy,44.8700754,-93.3539129
127,4532 Boardwalk Drive,Fort Collins,CO,Fort Collins Utilities,40.5241826,-105.0648679
128,1125 - 17th St.,Denver,CO,Xcel Energy,39.7497006,-104.9944317
129,8000 E. Maplewood Ave.,Greenwood Village,CO,Xcel Energy,39.6044741,-104.896313
130,10170 Church Ranch Way,Westminster,CO,Xcel Energy,39.8802737,-105.0750211
131,209 W. Main Street,New Iberia,LA,Cleco Power,30.0069438,-91.8193857
132,2895 Highway 190,Mandeville,LA,Cleco Power,30.3892948,-90.0813075
133,3850 N. Causeway Blvd.,Metairie,LA,Entergy Louisiana,30.0189368,-90.1568861
134,400 East Kaliste Saloom Rd.,Lafayette,LA,Entergy Louisiana,30.1935148,-92.0083001
135,1051 West Tunnel Blvd.,Houma,LA,Entergy Louisiana,29.5936654,-90.7377922
136,1510 Rees St.,Breaux Bridge,LA,Cleco Power,30.2860029,-91.9070823
137,1412 Centre Court Drive,Alexandria,LA,Cleco Power,31.2801218,-92.4779739
138,One Tower Lane,Oakbrook Terrace,IL,ComEd,41.8582742,-87.9545486
139,263 Shuman Blvd.,Naperville,IL,ComEd,41.8043457,-88.1514995
140,3033-3077 W. Jefferson Street,Joliet,IL,ComEd,41.5225556,-88.1563552
141,5519 N. Cumberland Avenue,Chicago,IL,ComEd,41.9800671,-87.8348222
142,500 West Madison Street,Chicago,IL,ComEd,41.8838269,-87.6405304
143,1301 West 22nd Street,Oak Brook,IL,ComEd,41.8462575,-87.9504885
144,3001 Emrick Blvd.,Bethlehem,PA,Met-Ed (FirstEnergy),40.6571885,-75.2925396
145,1120 N. Bethlehem Pike,Spring House,PA,PECO (Exelon),40.1743636,-75.2245117
146,220 Gibraltar Road,Horsham,PA,PECO (Exelon),40.173309,-75.1352661
147,One Forestwood Drive,Pittsburgh,PA,Duquesne Light,40.5198896,-80.0660694
148,125 East Elm Street,Conshohocken,PA,PECO (Exelon),40.0719468,-75.3059183
149,3314 Market Street,Camp Hill,PA,PPL Electric Utilities,40.2399391,-76.9371336
150,10700 West Research Drive,Wauwatosa,WI,We Energies,43.0414153,-88.0443803
151,1200 North Mayfair Rd.,Milwaukee,WI,We Energies,43.0469106,-88.0460697
152,705 N. McCarthy Road,Appleton,WI,We Energies,44.2670459,-88.4871592
153,234 West Florida Street,Milwaukee,WI,We Energies,43.0277406,-87.9136118
154,525 Junction Road,Madison,WI,Madison Gas and Electric (MGE),43.0716321,-89.5248766
155,180 Peachtree Street NW,Atlanta,GA,Georgia Power,33.758551,-84.387703
156,900 North Point Parkway,Alpharetta,GA,Georgia Power,34.0804454,-84.2600632
157,800 Broad Street,Rome,GA,Georgia Power,34.256886,-85.165698
158,4730 Hammond Industrial Dr.,Cumming,GA,Sawnee EMC,34.2528978,-84.0651796
159,3525 Piedmont Road NE Bldg 5,Atlanta,GA,Georgia Power,33.8510695,-84.3769699
160,5 Concourse Parkway,Atlanta,GA,Georgia Power,33.9170796,-84.354513
161,6 Concourse Parkway,Sandy Springs,GA,Georgia Power,33.9170491,-84.3558159
162,3655 North Point Parkway,Alpharetta,GA,Georgia Power,34.070632,-84.259699
163,18301 Von Karman Avenue,Irvine,CA,Southern California Edison (SCE),33.6776841,-117.8545669
164,2291 West March Lane,Stockton,CA,Pacific Gas & Electric (PG&E),37.9873359,-121.3334469
165,1001 Mark Ave.,Carpinteria,CA,Southern California Edison (SCE),34.3860787,-119.4871127
166,21650 Oxnard Street,Woodland Hills,CA,Southern California Edison (SCE),34.1789931,-118.6010186
167,303 Lennon Lane,Walnut Creek,CA,Pacific Gas & Electric (PG&E),37.9260921,-122.0297955
168,2321 Rosecrans Avenue,El Segundo,CA,Southern California Edison (SCE),33.902467,-118.3821498
169,11220 Asset Loop,Manassas,VA,Dominion Energy,38.7501435,-77.5313984
170,2810 N. Parham Rd.,Richmond,VA,Dominion Energy,37.6275303,-77.5499622
171,4500 Main Street,Virginia Beach,VA,Dominion Energy,36.8424263,-76.131658
172,201 Concourse Blvd.,Glen Allen,VA,Dominion Energy,37.6873635,-77.5900411
173,46165 Westlake Drive,Potomac Falls,VA,Dominion Energy,39.0349903,-77.4040253
174,9200 Church Street,Manassas,VA,Dominion Energy,38.7517888,-77.4737778
175,360 Three Meadows Drive,Perrysburg,OH,Toledo Edison (FirstEnergy),41.5560939,-83.6003866
176,80 Dorchester Square,Westerville,OH,City of Westerville Electric Division,40.1068576,-82.9224206
177,428 Ray Norrish Drive,Cincinnati,OH,Duke Energy,39.3013,-84.487423
178,706 Indian Hill Rd.,Terrace Park,OH,Duke Energy,39.1658918,-84.3097998
179,700 Tower Drive,Troy,MI,DTE Energy,42.5937014,-83.1651085
180,5250 Corporate Drive,Troy,MI,DTE Energy,42.5941165,-83.171961
181,111 S. Leroy St.,Fenton,MI,Consumers Energy,42.7945534,-83.7048245
182,1605 Concentric Blvd.,Saginaw,MI,Consumers Energy,43.4789141,-83.9482044
183,2851 Charlevoix Drive SE,Grand Rapids,MI,Consumers Energy,42.9120097,-85.5237053
184,11405 North Community House Road,Charlotte,NC,Duke Energy,35.0575465,-80.8381664
185,1598 Stokes Street,Wilkesboro,NC,Duke Energy,36.144214,-81.189325
186,5506 W. Friendly Ave.,Greensboro,NC,Duke Energy,36.0892085,-79.8825895
187,7031 Albert Pick Road,Greensboro,NC,Duke Energy,36.0769776,-79.9496079
188,1200 Main St,Kansas City,MO,Evergy,39.0996422,-94.583793
189,9666 Olive Blvd,Olivette,MO,Ameren Missouri,38.6728077,-90.3888316
190,10 The Pines Court,St. Louis,MO,Ameren Missouri,38.6778775,-90.4993238
191,15450 South Outer Forty Road,Chesterfield,MO,Ameren Missouri,38.650333,-90.552867
192,615 N. 48th St.,Phoenix,AZ,Salt River Project (SRP),33.4547001,-111.97624
193,2800 N. Central Ave.,Phoenix,AZ,Arizona Public Service (APS),33.4788349,-112.0742543
194,4110 N Scottsdale Road,Scottsdale,AZ,Salt River Project (SRP),33.4958668,-111.9265828
195,7600 N. 16th Street,Phoenix,AZ,Arizona Public Service (APS),33.5482636,-112.0490909
196,9237 East Via de Ventura,Scottsdale,AZ,Salt River Project (SRP),33.5500537,-111.8818076
197,11711 N. Meridian Street,Carmel,IN,Duke Energy,39.9581929,-86.158038
198,1320 North City Center Drive,Carmel,IN,Duke Energy,39.9655772,-86.1538647
199,11595 N. Meridian Street,Carmel,IN,Duke Energy,39.9560759,-86.1580348
200,7609 West Jefferson Blvd,Fort Wayne,IN,Indiana Michigan Power (AEP),41.0406951,-85.2346468
201,706 W. Main St.,Russellville,AR,Entergy Arkansas,35.2797699,-93.1393475
202,2120 Riverfront Drive,Little Rock,AR,Entergy Arkansas,34.7712791,-92.3077912
203,5540 Bleaux Avenue,Springdale,AR,Entergy Arkansas,36.179757,-94.1918147
204,5407 Hwy 5 North,Bryant,AR,Entergy Arkansas,34.6241207,-92.5014357
205,411 East 3rd Ave.,Eugene,OR,Eugene Water & Electric Board (EWEB),44.056591,-123.0863709
206,10220 SW Greenburg Rd.,Tigard,OR,Portland General Electric (PGE),45.4457139,-122.7738938
207,601 S.W. Second Avenue,Portland,OR,Portland General Electric (PGE),45.51845429,-122.6748427
208,360 SW Bond Street,Bend,OR,Pacific Power,44.0462766,-121.3089028
209,13101 Magisterial Drive,Louisville,KY,Louisville Gas & Electric (LG&E),38.2687982,-85.5093491
210,653 Adair Veteran's Memorial Highway,Columbia,KY,Kentucky Utilities (KU),37.1199169,-85.308287
211,563 Hub Boulevard,Bowling Green,KY,Warren Rural Electric Cooperative Corporation (WRECC),36.967389,-86.408322
212,701 Adair Veteran's Memorial Highway,Columbia,KY,Kentucky Utilities (KU),37.1200807,-85.3075133
213,366 US Route 1,Falmouth,ME,Central Maine Power (CMP),43.7387053,-70.2233593
214,108 Main Street,Damariscotta,ME,Central Maine Power (CMP),44.0330484,-69.5319444
215,134 Front Street,Bath,ME,Central Maine Power (CMP),43.9141046,-69.8143627
216,208 N. Mill,Pryor,OK,Municipal Utility Board of Pryor,36.312072,-95.3168085
217,501 E. Frank Phillips Boulevard,Bartlesville,OK,Public Service Company of Oklahoma (PSO),36.745714,-95.9208953
218,3121 Quail Springs Parkway,Oklahoma City,OK,Oklahoma Gas & Electric (OG&E),35.6149278,-97.5713121
219,7515 Northside Drive,Charleston,SC,Dominion Energy South Carolina,32.9388824,-80.0514012
220,10 Falcon Crest Drive,Greenville,SC,Duke Energy Carolinas,34.8605726,-82.3581181
221,2000 Center Point Road,Columbia,SC,Dominion Energy South Carolina,34.0416026,-81.1122521
222,6 Cadillac Drive,Brentwood,TN,Middle Tennessee Electric (MTE),36.0350607,-86.7979006
223,725 Cool Springs Boulevard,Franklin,TN,Middle Tennessee Electric (MTE),35.9440011,-86.8062551
224,250 Flanders Road,East Lyme,CT,Eversource Energy,41.3563592,-72.2102268
225,520 Cromwell Avenue,Rocky Hill,CT,Eversource Energy,41.655959,-72.6783544
226,914 Hartford Tpk.,Waterford,CT,Eversource Energy,41.3804197,-72.152872
227,33 College Hill Rd,"Warwick, RI",RI,Rhode Island Energy (formerly National Grid Rhode Island),41.713767,-71.488493
228,8100 Lang Ave. NE,Albuquerque,NM,Public Service Company of New Mexico (PNM),35.1730831,-106.5889238
229,627 Paseo del Pueblo Sur,Taos,NM,Public Service Company of New Mexico (PNM),36.3939419,-105.580243
230,8337 West Sunset Road,Las Vegas,NV,NV Energy,36.0702553,-115.273155
231,2432 Kemp Street,Missoula,MT,Northwestern Energy,46.8484488,-114.0300171
232,4207 Boulder Ridge Rd.,Bismarck,ND,Montana-Dakota Utilities Co. (MDU),46.8518874,-100.787485
233,1820 S. Silverstone Way,Meridian,ID,Idaho Power,43.5877916,-116.3506681
234,100 Court Avenue,Des Moines,IA,MidAmerican Energy,41.5854386,-93.6181987
235,7570 West 21st Street North,Wichita,KS,Evergy,37.7232247,-97.430304
236,309 Daniel Webster Highway,Merrimack,NH,Eversource Energy,42.8415039,-71.4920403
237,1001 Bishop Street,Honolulu,HI,Hawaiian Electric,21.3082056,-157.8608336
238,1585 Kapiolani Boulevard,Honolulu,HI,Hawaiian Electric,21.2915925,-157.8404769
239,257 East 200 South,Salt Lake City,UT,Rocky Mountain Power,40.765001,-111.8710573
240,6711 Columbia Gateway Dr.,Columbia,MD,Baltimore gas and electric,39.1850785,-76.8062684
241,354 Mountain View Dr.,Colchester,VT,Green mountain power,44.5090639,-73.1838167
242,85 Enterprise Blvd,Markham,ON,Alectra Utilities Corporation,43.8488295,-79.3286319
